"","ID_DIRECTORIO","ID_IDENTIFICACION","REGION_H","R_P_C","ESTH","SECH","TIPO","MESH","VIVH","HOGH","ANO_ENCUESTA","EDADJH","SEXOJH","CURSOJH","NIVELJH","TERMINO_NIVELJH","CINEJH","PROVEEDOR","NACIONALIDAD","CONYUGALJH","INFORMANTE","GRUPO_EDAD","TOTPERH","TOTMENH","TOTMAYH","TOTFTH","TOTOCUPH","TOTDESOH","TOTFFTH","PERCH","PERCOCUH","GRUJH1","CISEJH","B8JH","B9JH","B10JH","B11JH","B12JH","RAM_SUBCJH1","RAM_SUBCJH1_REV4CL_CAENES","RAMJH1","RAMJH1_REV4CL_CAENES","TEMJH","B16JH","MESES_EMPLEO","TME","B19JH","HOR_HABJH","HOR_EFEJH","GRU_CESJH1","CISE_CESJH","RAM_CESJH1","RAM_CESJH1_REV4CL_CAENES","SS_T","SVAR_T","REG_T","ING_T_D","GAN_T","ING_T_CP","ING_T_EMP","AUTOCONSUMO_T","AHORROIMP_T","ING_T_I","ING_T_I_AI","ING_OT","ING_T_T","ING_T_T_AI","ING_A_P","ING_A_OB","ING_A_T","TIPO_VIVIENDA","VIVIENDA_OTRO","ALQ_IMP","ING_CAH","ING_INT","ING_DIV","ING_P_T","JUBVEJEZ_T","JUBINVALIDEZ_T","MONTEPIO_T","ING_JUB","PORFAND_T","PDISCAP_T","PESTADO_T","PALIMENT_T","POTRAS_T","ING_PEN","SUF_T","SUBOTROS_T","ING_SUBE","ING_SUBC","BECAEST_T","DONACIONES_T","REMESAS_T","ING_BDR","SALEXT_T","OTRAFUENT_T","ING_OTROS","ING_AUT","ING_MON","ING_TOTAL","ING_TOTAL_E","ING_PROM","ING_PROM_AUT","CSE_ESPECIFICOJH","FACT_HOG","DECILH"
"72",2430,234813,2,2201,2021,NA,1,12,15,1,2016,47,1,4,4,1,5,1,"00",1,1,5,4,2,2,1,1,0,1,1,1,7,3,1,1,2,2,2,"4",3,4,3,2,1,2,1,2,45,45,NA,NA,NA,NA,499737.095784769,0,0,499737.095784769,0,0,0,0,0,0,0,0,499737.095784769,499737.095784769,0,0,0,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136914.971080536,0,0,136914.971080536,0,0,0,636652.066865305,636652.066865305,636652.066865305,24111895.7224932,159163.016716326,159163.016716326,1,37.8729560106721,2
"73",22051,220862,6,6101,6011,NA,1,10,7,1,2016,33,2,1,4,2,5,1,"00",2,1,3,5,3,2,2,2,0,0,1,1,5,3,1,1,3,2,1,"",NA,7,7,1,1,11,3,2,45,0,NA,NA,NA,NA,250417.178991745,0,0,250417.178991745,0,0,0,0,0,0,0,0,250417.178991745,250417.178991745,0,0,0,2,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146608.239943791,0,0,146608.239943791,0,0,0,397025.418935536,397025.418935536,397025.418935536,43020221.6693233,79405.0837871072,79405.0837871072,5,108.356340973494,1
"74",6674,210092,9,9211,9029,918,3,10,1,1,2016,46,1,6,3,2,3,1,"00",1,NA,5,4,0,4,2,1,1,2,3,1,NA,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,1,1,350584.050588443,0,0,350584.050588443,0,0,0,0,0,0,0,380634.112067452,731218.162655895,731218.162655895,0,0,0,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120302.416125066,0,0,120302.416125066,0,0,0,851520.578780962,851520.578780962,851520.578780962,137806932.332975,212880.14469524,212880.14469524,8,161.83629117955,4
"75",21401,206344,8,8103,8171,NA,1,11,3,1,2016,51,1,6,9,1,7,1,"00",1,NA,5,2,0,2,2,2,0,0,2,2,2,3,1,2,NA,2,1,"",NA,13,16,5,1,251,8,2,45,27,NA,NA,NA,NA,1830000,0,0,1830000,0,0,0,0,0,0,0,0,1830000,1830000,0,0,0,2,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1830000,1830000,1830000,272735956.360944,915000,915000,1,149.036041727292,10
"76",21402,207088,8,8106,8071,NA,1,11,5,1,2016,54,1,2,4,2,5,1,"00",1,0,5,2,0,2,1,1,0,1,1,1,9,3,1,2,NA,2,2,"11",14,4,3,5,1,143,8,2,48,72,NA,NA,NA,NA,230000,0,0,230000,0,0,0,0,0,0,0,0,230000,230000,0,0,0,4,"",85000,0,0,0,0,0,0,0,0,0,0,0,0,3e+05,3e+05,0,0,0,0,0,0,0,0,0,0,0,530000,530000,615000,16024855.8490556,307500,265000,1,26.0566761773262,6
"77",21169,233690,5,5109,5111,NA,1,11,4,1,2016,34,1,3,8,1,6,0,"00",2,1,3,2,0,2,2,2,0,0,2,2,9,3,2,2,NA,4,1,"",NA,7,7,5,1,47,6,2,20,20,NA,NA,NA,NA,550000,0,250000,8e+05,0,0,0,0,0,0,0,0,8e+05,8e+05,0,0,0,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e+05,8e+05,8e+05,149419986.640332,4e+05,4e+05,1,186.774983300415,8
"78",22670,229690,15,15101,15011,NA,1,12,2,1,2016,73,1,4,5,1,5,1,"00",1,0,7,2,0,2,0,0,0,2,2,0,NA,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,6,6,0,0,0,0,0,0,0,0,0,0,0,150361.778762798,150361.778762798,150361.778762798,0,0,0,3,"",199894.838313908,0,0,0,0,289847.515555166,0,0,289847.515555166,0,0,91951.6256243975,0,0,91951.6256243975,0,11993.6902988345,11993.6902988345,0,0,0,0,0,0,0,0,532160.919942361,544154.610241196,744049.448555103,52232867.0440556,372024.724277552,266080.459971181,18,70.2008006934062,7
"79",14553,231173,11,11201,11041,NA,1,10,4,1,2016,56,2,3,3,2,3,0,"00",3,1,6,2,0,2,2,1,1,0,2,1,NA,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,4,3,475792.640084315,0,0,475792.640084315,0,0,0,0,0,0,0,105175.215176533,580967.855260848,580967.855260848,0,0,0,3,"",200333.743193396,0,0,0,0,60100.1229580188,0,0,60100.1229580188,0,0,0,0,0,0,0,13021.6933075707,13021.6933075707,0,0,150250.307395047,0,150250.307395047,0,0,0,791318.285613914,804339.978921485,1004673.72211488,27404169.5856181,502336.86105744,395659.142806957,8,27.2766859353414,9
"80",7522,215928,7,7101,7041,NA,1,10,2,1,2016,62,2,3,7,1,6,0,"00",2,NA,6,3,0,3,0,0,0,3,3,0,NA,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,8,9,0,0,0,0,0,0,0,0,0,0,0,380634.112067452,380634.112067452,380634.112067452,0,0,0,3,"",80133.4972773584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32053.3989109434,0,0,32053.3989109434,0,0,0,412687.510978396,412687.510978396,492821.008255754,30285205.5641501,164273.669418585,137562.503659465,12,61.4527486791579,2
"81",3884,210380,5,5604,5172,204,2,10,12,1,2016,74,1,5,3,2,3,1,"00",5,1,7,1,0,1,1,1,0,0,1,1,5,2,NA,NA,NA,NA,NA,"",NA,7,7,1,3,70,7,2,78,78,NA,NA,NA,NA,0,0,0,0,300500.614790094,310517.301949764,0,10016.6871596698,0,310517.301949764,310517.301949764,0,310517.301949764,310517.301949764,0,0,0,1,"",0,0,0,0,0,0,0,0,0,0,0,93699.0966976992,0,0,93699.0966976992,0,17872.7748989988,17872.7748989988,0,0,0,0,0,0,0,0,404216.398647463,422089.173546462,422089.173546462,330960933.674967,422089.173546462,404216.398647463,1,784.101925415853,8
